Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Märke,Modell,Län,Pris (Y)
1491,2022,halvkombi,2,204,grå,hyundai,kona,Kronoberg,349800
9800,2019,sedan,2,120,svart,hyundai,ioniq,Göteborg,144000
6729,2020,suv,4,408,svart,audi,e-tron,Skåne,528900
1270,2022,suv,2,136,röd,hyundai,kona,Uppsala,259900
11748,2020,halvkombi,2,136,blå,hyundai,ioniq,Örebro,209800
4355,2020,suv,4,408,svart,audi,e-tron,Malmö,548900
6400,2022,suv,2,204,blå,hyundai,kona,Örebro,319800
7400,2020,suv,2,204,grå,hyundai,kona,Örebro,274800
4998,2020,suv,2,204,grå,hyundai,kona,Örebro,289800
3525,2020,suv,2,204,röd,hyundai,kona,Örebro,289800
3990,2023,sedan,4,476,svart,audi,e-tron,karlskrona,867000
9975,2019,suv,2,204,mörkgrå,hyundai,kona,karlskrona,237000
4045,2022,suv,4,300,grå,audi,q4,vimmerby,549900
5100,2021,sedan,2,218,grå,hyundai,ioniq,skövde,459900
9100,2022,suv,2,218,svart,hyundai,ioniq,värnamo,419900
4073,2021,suv,4,408,grå,audi,e-tron,stockholm,534900
4277,2022,suv,2,204,blå,audi,q4,järfälla,478900
10500,2019,suv,4,408,svart,audi,e-tron,malmö,409800
3520,2021,suv,4,504,svart,audi,e-tron,Göteborg,719800
9162,2019,suv,4,408,svart,audi,e-tron,stockholm,425900
3977,2022,suv,4,408,grå,audi,e-tron,stockholm,626900
3411,2022,suv,2,204,brun,hyundai,kona,stockholm,343900
2289,2022,suv,2,218,grön,hyundai,ioniq,stockholm,439900
2732,2022,suv,2,170,svart,audi,q4,stockholm,386900
5483,2021,suv,4,408,svart,audi,e-tron,stockholm,494900
1638,2022,suv,2,170,grå,audi,q4,stockholm,391900
3550,2021,suv,4,408,svart,audi,e-tron,stockholm,497900
9188,2019,suv,4,408,grå,audi,e-tron,stockholm,384900
7466,2019,halvkombi,2,120,ljusgrå,hyundai,ioniq,stockholm,185900
7735,2020,halvkombi,2,136,[vit],hyundai,ioniq,stockholm,208900
7417,2020,suv,4,408,svart,audi,e-tron,stockholm,414900
5425,2022,suv,4,408,blå,audi,e-tron,stockholm,620900
7052,2021,suv,4,408,grå,audi,e-tron,stockholm,503900
2941,2022,suv,4,408,vit,audi,e-tron,stockholm,628900
5244,2020,suv,4,408,svart,audi,e-tron,stockholm,433900
5110,2020,suv,2,136,vit,hyundai,kona,stockholm,199900
3478,2022,suv,4,408,grå,audi,e-tron,stockholm,624900
5244,2022,suv,4,300,svart,audi,q4,stockholm,504900
7367,2022,suv,4,408,grå,audi,e-tron,stockholm,583900
2998,2023,suv,2,204,grå,audi,q4,stockholm,474900
4373,2021,suv,4,504,silver,audi,e-tron,stockholm,692900
1950,2022,suv,2,204,svart,hyundai,kona,vimmerby,379900
4232,2020,halvkombi,2,136,röd,hyundai,ioniq,österåker,200000
8826,2020,suv,4,408,grå,audi,e-tron,stockholm,479900
4000,2019,halvkombi,2,120,grå,hyundai,ioniq,örebro,199800
4200,2021,halvkombi,2,150,Svart,Nissan,Leaf,Skåne,189000
7880,2022,halvkombi,2,218,Vit,Nissan,Leaf,Örebro,279800
610,2023,halvkombi,2,150,mörkblå,Nissan,Leaf,Jönköping,298800
1500,2023,halvkombi,2,150,Vit,Nissan,Leaf,"Västra,Götaland",309900
673,2022,halvkombi,2,150,Vit,Nissan,Leaf,Östergötland,219900
8227,2014,halvkombi,2,109,Silver,Nissan,Leaf,Gotland,109800
605,2023,halvkombi,2,150,mörkblå,Nissan,Leaf,Kronoberg,259800
800,2022,halvkombi,2,150,mörkblå,Nissan,Leaf,Halland,279800
3300,2022,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,184900
6600,2019,halvkombi,2,150,Vit,Nissan,Leaf,Norrbotten,179900
11333,2017,halvkombi,2,109,Vit,Nissan,Leaf,Skåne,120000
14821,2018,halvkombi,2,150,Röd,Nissan,Leaf,Västmanland,159700
1528,2022,halvkombi,2,150,Grå,Nissan,Leaf,Stockholm,238900
3234,2021,halvkombi,2,150,Vit,Nissan,Leaf,Östergötland,198900
5892,2019,halvkombi,2,150,Vit,Nissan,Leaf,Skåne,197800
8491,2021,halvkombi,2,218,Röd,Nissan,Leaf,stockholm,217900
8323,2018,halvkombi,2,150,Röd,Nissan,Leaf,stockholm,159900
2149,2022,halvkombi,2,150,Ljusgrå,Nissan,Leaf,stockholm,210900
8043,2021,halvkombi,2,218,Grå,Nissan,Leaf,stockholm,221900
2826,2022,halvkombi,2,150,Röd,Nissan,Leaf,stockholm,205900
2741,2022,halvkombi,2,150,Grå,Nissan,Leaf,stockholm,205900
7385,2019,halvkombi,2,150,Ljusgrön,Nissan,Leaf,stockholm,184900
4109,2022,halvkombi,2,150,Vit,Nissan,Leaf,stockholm,189900
3158,2022,halvkombi,2,150,Vit,Nissan,Leaf,stockholm,199900
3986,2021,halvkombi,2,150,Vit,Nissan,Leaf,stockholm,181900
4085,2021,halvkombi,2,150,Röd,Nissan,Leaf,stockholm,185900
1927,2022,halvkombi,2,218,Grå,Nissan,Leaf,stockholm,290900
3998,2021,halvkombi,2,150,Vit,Nissan,Leaf,stockholm,181900
3041,2021,halvkombi,2,150,Vit,Nissan,Leaf,stockholm,178900
1504,2022,halvkombi,2,218,Grå,Nissan,Leaf,stockholm,288900
6106,2019,halvkombi,2,150,Vit,Nissan,Leaf,stockholm,176900
2720,2020,halvkombi,2,150,Brun,Nissan,Leaf,Jönköping,239900
15536,2020,halvkombi,2,218,Mörkgrå,Nissan,Leaf,Stockholm,199900
4468,2021,halvkombi,2,150,Svart,Nissan,Leaf,Kalmar,245000
9650,2016,halvkombi,2,109,Svart,Nissan,Leaf,"Västra,Götaland",128800
2570,2022,halvkombi,2,150,Ljusgrå,Nissan,Leaf,Stockholm,214900
2723,2016,halvkombi,2,109,Brun,Nissan,Leaf,Halland,129000
2027,2020,halvkombi,2,150,Röd,Nissan,Leaf,Skåne,199900
567,2023,suv,2,221,Mörkgrön,Nissan,Ariya,Västerbotten,499900
5310,2020,halvkombi,2,218,Vit,Nissan,Leaf,Jönköping,254900
2955,2022,halvkombi,2,150,Vit,Nissan,Leaf,"Nordvästra,Södermanland",209000
2078,2023,suv,2,243,Svart,Nissan,Ariya,Stockholm,499900
3440,2021,halvkombi,2,150,Röd,Nissan,Leaf,Dalarna,209900
700,2023,suv,2,243,Ljusgrå,Nissan,Ariya,Kalmar,599900
950,2023,suv,2,243,Blå,Nissan,Ariya,Jönköping,579800
4990,2020,suv,4,313,grå,audi,e-tron,linköping,415900
9208,2020,suv,4,313,svart,audi,e-tron,stockholm,354900
5326,2022,suv,4,408,Silver,audi,e-tron,stockholm,594900
3438,2020,suv,4,408,blå,audi,e-tron,Göteborg,589800
4937,2020,suv,4,313,svart,audi,e-tron,Göteborg,399800
500,2023,sedan,2,325,röd,hyundai,ioniq,Jönköping,589900
900,2023,sedan,4,325,grå,hyundai,ioniq,Jönköping,609900
7200,2019,halvkombi,2,204,orange,hyundai,kona,Jönköping,259900
7213,2018,halvkombi,2,120,mörkblå,hyundai,ioniq,knivsta,169400
2133,2021,halvkombi,2,204,vit,hyundai,kona,växjö,329800
